question,answer
How many urls did we scan?,18612
How many agency owners are represented?,137
How many bureau owners are represented?,407
How many domains did we scan?,1028
How many final urls are represented?,18612
How many final domains are represented?,937
How many urls are from the executive branch?,17749
How many urls are from the legislative branch?,754
How many urls are from the judicial branch?,103
How many home scans completed?,18611
How many home scans failed?,1
How many home scans failed because of a refused connection?,0
How many home scans failed because of a reset connection?,0
How many home scans failed because of dns resolution?,1
How many home scans failed because of invalid ssl certs?,0
How many home scans failed because of timeouts?,0
How many home scans failed for unknown reasons?,0
How many final urls are html files?,18090
How many final urls are text files?,232
How many final urls are json files?,117
How many final urls are xml files?,21
How many final urls are another filetype?,152
How many urls return a 2xx server code?,13954
How many urls return a 3xx server code?,0
How many urls return a 4xx server code?,4116
How many urls return a 5xx server code?,539
How many urls pass the 404 test?,9262
How many urls fail the 404 test?,9350
How many not found scans completed?,18612
How many not found scans failed?,0
How many robots.txt scans completed?,18505
How many robots.txt scans failed?,107
How many sitemap.xml scans completed?,18371
How many sitemap.xml scans failed?,241
How many DNS scans completed?,18612
How many DNS scans failed?,0
How many urls have a uswds count below 50?,15691
How many urls have a uswds count 51-100?,1349
How many urls have a uswds count 101-150?,492
How many urls have a uswds count 151+?,1064
How many urls have dap detected?,6533
How many urls don't have dap detected?,12078
How many urls weren't scanned for DAP (failed scans)?,1
How many urls have an og_title?,3991
How many urls have an og_description?,2705
How many urls have an og_title but don't have an og_description?,1307
How many urls have an og_description but don't have an og_title?,21
How many urls have an og_article_published?,269
How many urls have an og_article_modified?,726
How many urls have a main_element_present?,5624
How many urls don't have main_element_present_final_url?,12980
How many urls have a robots.txt detected?,6534
How many urls return a 2xx server code for their robots.txt?,9313
How many urls return a 3xx server code for their robots.txt?,0
How many urls return a 4xx server code for their robots.txt?,8224
How many urls return a 5xx server code for their robots.txt?,968
How many urls' robots.txt are text files?,6175
How many urls' robots.txt are another file type?,12437
How many urls' robots.txt file size were detected?,6654
How many urls' robots.txt have a crawl_delay?,581
How many urls' robots.txt link to sitemaps?,1874
How many urls have a sitemap.xml detected?,2359
How many urls return a 2xx server code for their sitemap.xml?,6636
How many urls return a 3xx server code for their sitemap.xml?,2
How many urls return a 4xx server code for their sitemap.xml?,10717
How many urls return a 5xx server code for their sitemap.xml?,1016
How many urls' sitemap.xml file size were detected?,2424
How many urls' sitemap.xml are xml files?,2238
How many urls' sitemap.xml are another file type?,2238
How many urls' sitemap.xml have an item count?,2424
How many urls' sitemap.xml have a pdf count?,2424
How many urls have an AAAA record (a.k.a. are likely IPv6 compliant)?,13326
How many urls do not have an AAAA record (a.k.a. are likely not IPv6 compliant)?,5286
How many urls have third party services?,11747
How many urls have 1-5 third party services?,6729
How many urls have 6-10 third party services?,3116
How many urls have 11-20 third party services?,1665
How many urls have over 20 third party services?,274
